entailment	id	similarity	sent1	sent2
Entailment	2860	4.2	Um homem está ficando de pé cansadamente ao lado de um ônibus	Um homem está de pé perto do ônibus
None	5206	3.4	O homem está intensamente tocando o violão	Uma menina não está tocando o violão
None	4350	2.1	A mulher está comendo	Não tem nenhuma mulher batendo ovos
None	6269	4.5	Um motociclista está pilotando a motocicleta ao longo da rodovia	Um motociclista de capacete vermelho está andando em uma motocicleta azul pela estrada
Entailment	569	4.7	Uma senhora está misturando uma mistura de carne em uma tigela	A mulher está mexendo carne em uma tigela
Entailment	294	4.8	Uma pessoa vestindo roupas para andar de bicicleta está de pé firmemente em frente às montanhas	Uma pessoa com equipamento de ciclismo está parada de pé de frente para algumas montanhas
None	5278	3.615	Não tem nenhuma pessoa escrevendo	Uma pessoa está escrevendo
None	4097	3.8	Uma pessoa está andando em uma moto motorizada em um evento relacionado a motocross	A pessoa está andando de moto em uma pista arenosa
Entailment	2160	5.0	A mulher está despejando óleo em uma sautese	O óleo está sendo derramado em uma sautese pela mulher
None	5444	2.2	Um violão está sendo tocando por um homem	Um homem está tocando uma flauta
None	4144	4.3	Dois meninos estão conversando ao telefone	Dois meninos não estão falando ao telefone
Entailment	3179	4.6	Uma mulher com uma camisa tingida de amarelo está surfando em uma prancha de surf rosa	Uma mulher de camisa amarela está surfando em uma prancha rosa
None	3412	3.5	Um cachorro branco e castanho está andando pela água com dificuldade	Um cachorro que tem uma pelagem castanha e branca está sentado no raso
Entailment	1921	4.4	Um cachorro está brincando com um brinquedo	O cachorro está se divertindo com um brinquedo
None	4794	3.3	O rinoceronte está pastando na grama	O rinoceronte não está pastando na grama
Entailment	1568	4.8	Um homem está cantando apaixonadamente	Um homem está cantando
Entailment	2894	4.5	Os três homens estão dançando	Alguns homens estão dançando
None	6240	3.6	Uma bola feita de madeira está sendo jogada pela porta em frente a um grande grupo de meninos	Um grupo de meninos está brincando com uma bola em frente a uma porta grande feita de madeira
Entailment	1779	4.4	O homem está empinando uma mountain bike	Um homem em uma bicicleta está andando em uma roda só
Entailment	142	4.4	O homem cercado por fotógrafos está vestindo um terno cinza e óculos	O homem cercado de homens com uma câmera está vestindo um terno cinza e óculos
Entailment	921	5.0	Um tomate está sendo fatiado por uma mulher	Uma mulher está fatiando um tomate
Entailment	2384	4.635	O homem está alimentando a cobra com um rato	O homem está alimentando a cobra com um animal
Entailment	2228	4.6	Um homem todo equipado está usando um capacete com logotipo do patrocinador e está pilotando uma motocicleta esportiva vermelha	Um piloto em plena velocidade está usando um capacete com logotipos de patrocinadores e está dirigindo uma motocicleta esportiva vermelha
Entailment	1553	4.9	Uma banda está tocando no palco	Uma banda está apresentando-se no palco
None	5878	3.5	Um homem está quebrando azulejos com as mãos	Um homem está quebrando tábuas feitas de madeira com suas mãos
Entailment	1384	4.3	Um homem está agachado no arbusto e tirando uma fotografia	Um homem está agachado e segurando uma câmera
Entailment	2420	4.6	Poucas crianças estão pulando em um trampolim	Algumas crianças estão pulando em um trampolim
None	6444	3.1	Um corredor está rodeando um esquilo	Um esquilo está correndo em círculos
None	4644	3.2	Várias crianças estão pulando em um trampolim	Não há nenhum homem dando mortais em um trampolim
None	5830	3.185	Uma mulher não está fervendo camarões	Uma mulher está fervendo camarões
Entailment	1317	4.365	Um macaco está chutando a mão enluvada de uma pessoa	Um macaco está chutando a luva de uma pessoa
None	3614	3.3	Várias pessoas estão comendo em mesas vermelhas em um restaurante com luzes roxas lotado	Um grupo de pessoas em um grande restaurante asiático está comendo
Entailment	97	4.0	O campo verde para corrida de cavalos está completamente cheio de jóqueis	Os jóqueis estão correndo a cavalos no campo, que é completamente verde
Entailment	1292	4.1	Um homem está fazendo um esboço	Um homem está desenhando
None	3477	3.2	Uma pessoa está despejando óleo de cozinha em uma panela	Uma pessoa está limpando uma panela de óleo de cozinha
None	4497	3.9	Dois homens estão segurando varas de pesca e equipamentos de pesca	Dois homens estão de pé perto da água e estão segurando varas de pesca
Entailment	534	4.8	Um cachorro, que tem pelagem preta, está correndo na grama e sua língua está saindo para fora da boca	Um cachorro preto está correndo na grama e sua língua está saindo para fora da boca
Entailment	2934	4.7	Um cachorro castanho e branco está brincando no gramado	Um cachorro castanho e branco está brincando na grama
Entailment	3220	4.5	Um homem e uma mulher estão andando pela área arborizada	Um homem e uma mulher estão andando por uma área arborizada
None	3694	3.8	Não tem pilotos correndo pela pista	Os homens estão correndo uma corrida
None	3367	3.6	Um homem está tocando um violão	Não tem nenhuma mulher tocando um violão elétrico
Entailment	570	4.4	Um homem está fazendo um truque de bicicleta em pleno ar	O ciclista está realizando um truque no ar
Entailment	1799	4.7	O homem está sentado no chão em uma sala e dedilhando um violão	Um homem está sentado no chão e está tocando um violão
None	5892	4.2	Uma criança está tocando um instrumento	Um menino jovem está tocando um instrumento de sopro
None	5269	3.8	Uma mulher está fatiando uma berinjela	Não há nenhuma mulher fatiando uma berinjela
Entailment	1153	4.0	Alguém está desenhando uma pessoa	A pessoa está desenhando
None	6343	2.8	Um homem está apertando os botões de um micro-ondas	Um homem está sendo empurrado em direção aos botões de um micro-ondas
None	3270	3.75	Um cachorro está empurrando uma criança pequena dentro de uma poça de chuva	O cachorro não está empurrando o menino na água
None	5547	3.5	Um piloto de motocross está dando uma moto para uma pessoa em um evento	Uma pessoa está andando em uma moto motorizada em um evento relacionado a motocross
None	4206	2.4	Um piano está sendo tocado por um homem	O menino não está tocando o piano alegremente
None	4665	3.5	Um grupo de pessoas está equipado com equipamento que não protege	Um grupo de pessoas está equipado com equipamentos de segurança
Entailment	1525	5.0	Um cavalo está sendo montado por uma mulher	Uma mulher está andando a cavalo
Entailment	689	3.6	A criança jovem está andando de motinho de três rodas pela calçada	Uma criança pequena está andando de motinho de plástico
Entailment	2951	4.9	Um homem está caminhando lentamente na floresta	Um homem está caminhando na floresta
None	4932	4.5	Um avião está voando pelo ar	O avião, que é sul-africano, está voando em um céu azul
None	4138	1.1	Uma mulher está dançando sozinha	Dois homens estão jogando tênis de mesa
None	3529	3.5	Um jogador está correndo com a bola	Um jogador está arremessando a bola
Entailment	1282	4.4	O papagaio está falando no microfone	Um papagaio está falando
None	6416	3.4	Uma mulher está fatiando uma cebola	A mulher está cortando uma cenoura
Entailment	133	4.9	Uma menina pequenina está dirigindo um carro de brinquedo	A pequenina menina está dirigindo o carro de brinquedo
Entailment	102	4.2	Um texugo está cavando a terra astutamente	O texugo está cavando um buraco
Entailment	252	4.9	O homem está tocando um violão acústico	O homem está tocando um violão que é acústico
None	6467	3.6	Uma mulher, que é velha, está longe de um cachorro branco	Uma mulher, que é velha, está perto de um cachorro branco
Entailment	2822	4.9	A menina, que é jovem, está soprando uma bolha que é enorme	A menina jovem está soprando uma bolha que é grande
None	3747	3.0	Um homem está andando a cavalo	Um cavalo está cavalgando sobre um homem
None	4949	3.75	Não tem nenhum cachorro brincando animadamente com água na grama	Um cachorro está animadamente brincando com água na grama
None	3273	2.4	Um homem está dançando	Um homem está cantando apaixonadamente
None	3278	2.5	Uma pessoa está fatiando uma cenoura em pedaços	Uma pessoa está juntando pedaços de uma cebola
Entailment	1023	4.3	Dois meninos de roupas brancas e equipamento de proteção vermelho estão brigando em um tapete	Duas crianças de roupas brancas e equipamento de segurança vermelho estão brigando em um tapete
None	4994	3.1	Alguns nadadores estão saindo de um lago	Vários nadadores estão pulando na água
Entailment	2899	4.4	Uma senhora oriental está cortando uma cenoura em pedaços finos	Uma mulher está fatiando uma cenoura
None	3687	3.1	Um homem, uma mulher e duas meninas estão andando na praia	Um homem, uma mulher e duas meninas estão sentados na praia
Entailment	1058	4.1	Alguns homens em uma competição estão correndo ao ar livre	Alguns homens em uma competição estão correndo no exterior
Entailment	1167	4.5	Dois animais estão correndo pelo parque	Dois cachorros estão correndo rapidamente por um parque
None	5298	3.5	Os meninos estão de pé na frente do carro em chamas	Quatro homens jovens estão explodindo e um carro está parado atrás deles
Entailment	1158	4.6	Um homem está agachado e segurando uma câmera	Uma pessoa está agachada e segurando a câmera
None	5015	1.9	Uma mulher está empanando uma costeleta de porco	As cenouras estão sendo raladas por uma mulher
None	3336	3.2	Um homem está tocando um teclado eletrônico	Não tem nenhum homem tocando um teclado eletrônico
None	3611	3.3	Uma mulher está sacando bolas de vôlei sobre uma rede	Uma mulher está recebendo bolas de vôlei de outra mulher
Entailment	648	4.7	O papel está sendo cortado com tesoura	Alguém está cortando algum papel com tesoura
Entailment	305	4.5	Um bebê rinoceronte está seguindo um rinoceronte adulto	Um rinoceronte, que é pequeno, está seguindo um rinoceronte adulto
None	3823	3.8	Um cachorro está pulando em um trampolim	Um cachorro está deitado em um trampolim
Entailment	2876	4.9	Um homem está misturando vegetais em uma panela	Vegetais estão sendo misturados em uma panela por um homem
Entailment	2524	3.1	Um homem está tocando uma flauta	O homem não está tocando violão
Entailment	1736	5.0	Um gato está preso na pá de um ventilador que está se movendo	Um gato está preso em um ventilador de teto móvel
None	4091	3.2	Um homem está plantando uma árvore	Um homem está carregando uma árvore
None	4548	4.1	Uma pessoa está embrulhando uma tortilha	Um homem está desdobrando uma tortilha
None	5567	4.4	Alguém está caindo de um cavalo	O homem é abruptamente derrubado de um cavalo
Entailment	1950	4.9	Um cachorro preto escuro e um cachorro castanho claro estão brincando no quintal	Um cachorro escuro preto e um cachorro castanho claro estão brincando no quintal
None	4254	4.2	Duas crianças estão escalando uma árvore	Duas crianças estão penduradas em um galho grande
None	4636	2.7	Uma menina está fazendo uma flauta que não deve ser tocada	Uma mulher está tocando flauta
Entailment	642	4.4	Uma pessoa está estupidamente jogando um gato no teto	Uma pessoa está jogando um gato no teto
Entailment	2418	4.3	A mulher está passando sombra	Uma mulher está colocando maquiagem em sua pálpebra
None	6083	4.3	Não tem nenhum homem cantando e tocando violão	Um homem está tocando um violão
Entailment	647	4.3	Um homem está imprudentemente subindo em uma corda	Um homem está escalando para cima em uma corda
None	4839	3.9	Um cachorro, que é castanho, e um que é preto estão correndo na grama	Um cachorro preto escuro e um cachorro castanho claro estão brincando no quintal
None	5149	2.8	Um homem toca um piano em um concerto	Um homem está tocando um violão
Entailment	362	4.8	Um homem está lendo um e-mail	Um e-mail está sendo lido por um homem
None	3281	3.6	Alguém está dando comida a um animal	Ninguém está alimentando um animal
Entailment	161	4.2	Uma mulher está colocando dois ovos dentro de uma panela de água	Uma mulher está fervendo ovos
None	4607	1.6	A mulher está fatiando uma cebola	Um homem está guardando uma cenoura
None	3322	2.1	Um homem está andando de moto	O cavalo está sendo montado por um homem
Entailment	1428	5.0	A mulher está fatiando polvo cozido	A mulher está cortando polvo cozido
Entailment	2346	4.5	O homem está distraidamente comendo uma banana perto de uma árvore	O homem está comendo uma banana perto de uma árvore
Entailment	3128	5.0	Um teclado está sendo tocado por um homem	Um homem está tocando teclado
Entailment	2098	4.4	Um lêmure está pendurado em uma corda	Um lêmure está segurando em uma corda
None	5468	3.6	Uma mulher velha está dando um aperto de mão em um homem	Uma jovem mulher está dando um aperto de mão em um homem
Entailment	1756	4.9	Uma banana está sendo descascada por uma pessoa	Uma pessoa está descascando uma banana
Entailment	2119	4.4	A mulher está passando maquiagem no homem	Uma mulher está pintando o rosto de um homem
Entailment	738	4.2	Uma pessoa em uma bicicleta está pulando pelo ar e o sol está cintilando pela armação da bicicleta	A pessoa está voando pelo ar em uma bicicleta
None	4617	3.15	Uma mulher está sendo beijada por um homem	Uma multidão perto das pessoas está se beijando dois a dois
None	3359	2.1	Duas pessoas estão passeando dois cachorros com pelagens douradas na neve	Duas pessoas estão na neve sem usar roupas que proporcionam camuflagem
None	4845	3.2	O violão está sendo tocado por uma senhora	O homem está praticando o violão
Entailment	1324	4.9	Algum peixe está nadando	Um peixe está nadando
Entailment	1907	3.8	Dois meninos pequenos estão brincando do lado de fora com uma bola de futebol na grama verde	Duas crianças estão brincando com uma bola no parque
None	4139	3.1	Alguém está tocando o violão	Um homem está guardando um violão
Entailment	2454	4.4	A mulher está cortando polvo cozido	Uma mulher está picando um polvo
Entailment	2159	5.0	Os meninos estão de pé na frente do carro em chamas	Os meninos estão de pé na frente do carro, que está queimando
None	5123	2.2	Dois homens estão fazendo um esquete engraçado com um boxeador na frente de uma multidão de pessoas	Alguns meninos estão na frente de pessoas dançando
None	5124	3.8	Dois salsichas estão brincando com uma bola vermelha	Dois cachorros castanhos estão lutando por um brinquedo vermelho e estão brincando na grama
Entailment	318	5.0	O homem está desenhando	Um homem está desenhando
Entailment	1807	4.9	A menina de chapéu preto está vestindo um biquíni na praia	Uma menina de chapéu preto está vestindo um biquíni na praia
Entailment	2664	4.9	Um cachorro, que é preto, e um branco estão encarando um ou outro na rua	Um cachorro, que é preto, e outro, que é branco, estão se encarando na rua
None	6348	1.0	Um panda está escalando	Um homem está desamarrando uma corda
None	4826	4.2	Um homem está tocando dois teclados	Um músico está tocando dois teclados
Entailment	2533	4.9	O gol está sendo guardado por um jogador de hóquei de camisa de time amarela	O goleiro de hóquei no gelo está usando uma camisa de time amarela e está defendendo o gol
Entailment	136	4.7	Três mulheres estão sentadas juntas perto de paredes de tecido	Algumas mulheres estão sentadas juntas perto de paredes de tecidos
None	4918	3.6	Uma mulher está tirando sombra	Uma mulher está passando sombra
None	5875	3.5	O homem está apagando o desenho no quadro	O homem está apagando o trabalho de outro homem do painel
None	6278	2.6	Um homem está sentado	Um homem está caminhando do lado de fora
Entailment	2553	4.6	A criança pequena está jogando futebol e caindo inofensivamente na grama	A criança pequena está jogando futebol e caindo na grama
None	3316	1.0	Um caminhão está rapidamente subindo um morro	Um pouco de água está sendo bebida por um gato
Entailment	144	4.4	Alguma pessoa está de pé em um vasto campo de gelo glacial	A pessoa está de pé sobre o gelo branco
Entailment	3035	4.3	Um homem está tocando bateria	Um homem está tocando o instrumento
Entailment	317	4.7	Dois meninos estão vestindo camisas marrons e estão puxando uma corda entusiasmadamente em uma plataforma de madeira	Dois meninos estão vestindo camisas marrons e estão puxando uma corda em uma plataforma de madeira
None	6500	3.0	A bola de futebol está entre os pés de um menino que está deitado na grama	Não tem nenhuma criança pequena jogando futebol e caindo na grama
Entailment	1142	4.2	Um grupo de crianças no porão de uma igreja está tocando maracas e tamborins	Um grupo de crianças em um porão de uma construção está tocando maracas e tamborins
Entailment	280	4.9	As pessoas em uma corrida de arrancada estão olhando para as chamas que estão saindo dos carros	Algumas pessoas em uma corrida de arrancada estão olhando para as chamas que estão saindo dos carros
None	5890	3.7	A mulher não está dançando	Uma mulher está dançando numa gaiola
Entailment	244	4.2	Uma criança está cantando e tocando um violão	Uma criança está tocando violão
Entailment	1517	4.7	Uma mulher está usando uma camisa, que é azul, com um colete branco e um boné branco e está falando e caminhando	Uma mulher está vestindo uma camisa azul com um colete branco e um capuz branco e está falando e marchando
Entailment	1323	5.0	Uma mulher está acariciando um lêmure	Um lêmure está sendo acariciado por uma mulher
None	6410	4.4	A apresentação está sendo assistida por uma classe de estudantes	A apresentação não está sendo assistida por uma sala de aula de estudantes
Entailment	2816	4.8	Um homem está pulando em uma piscina	Um homem está mergulhando em uma piscina
None	4058	1.7	O homem está andando ansiosamente por um quarto	Um homem está sentado no chão e está tocando um violão
Entailment	808	5.0	Uma pessoa está tocando trompete	Um trompete está sendo tocado por uma pessoa
Entailment	1721	4.4	A jovem mulher de camisa tingida de vermelho está soprando uma bolha que é gigante	A menina de camisa vermelha está soprando uma bolha
Entailment	3094	4.9	O avião, que é sul-africano, está voando em um céu azul	O avião sul-africano está voando no céu azul
Entailment	2745	4.5	Um homem está fazendo o micro-ondas funcionar	Um homem está ligando o micro-ondas
Entailment	479	4.6	A mulher está pegando e segurando um bebê canguru	Uma mulher está pegando e segurando um bebê canguru em seus braços
None	4903	3.6	Um homem está despejando um prato de queijo que está ralado dentro de uma panela de molho	A senhora está adicionando queijo ao molho
Entailment	1855	5.0	O bote de resgate laranja está correndo através da água	O barco de resgate, que é laranja, está correndo através da água
None	6051	4.3	Uma mulher está colocando maquiagem em sua pálpebra	A mulher está passando sombra
None	5215	4.4	As pessoas não estão andando de bote e remando	Quatro pessoas estão flutuando em um bote
Entailment	323	4.5	Um homem está cortando uma corda grossa com uma espada	Um homem está cortando um cordão com uma espada
None	5491	1.7	As janelas estão sendo limpas por um homem	O homem não está dirigindo um carro
None	5308	3.5	Uma mulher está dançando sozinha	Um pequeno grupo de mulheres está segurando uma a outra e dançando junto
None	4409	3.7	Alguém está em uma motocicleta preta e branca e está sentado no assento	Um motociclista está de pé no banco de uma motocicleta branca
None	5248	3.7	O homem não está operando um estenógrafo	Um homem está digitando em uma máquina usada para taquigrafia
Entailment	514	5.0	Duas crianças estão empurrando um crocodilo inflável em uma piscina	Um crocodilo inflável está sendo empurrado por duas crianças em uma piscina
Entailment	1661	4.6	Um homem está cortando uma corda grossa com uma espada	Um homem está cortando uma corda com uma espada
None	5314	4.1	Uma mulher está cortando algumas flores	Uma mulher está podando algumas plantas
None	5002	2.7	Um homem está andando na chuva	Um homem e uma mulher estão andando agradavelmente
None	3568	3.1	Um menino com uma camisa vermelha está na frente de uma longa parede azul e está desconfiadamente levantando uma sobrancelha para a câmera	Um menino está de pé na frente do prédio pintado de azul, no espaço reservado para pessoas com deficiência
Entailment	2300	4.4	O cavalo está sendo montado por um homem	O homem está montando o animal
None	3344	3.0	Um jogador está correndo com a bola	Futebol está sendo jogado por dois times concorrentes
None	6029	3.9	Uma mulher está lavando um grande pimenta	Uma mulher está fatiando uma pimenta grande
Entailment	2670	4.5	O homem está fazendo uma parada de mão na costa molhada na beira da água na praia	O homem está fazendo uma parada de mão na areia molhada na beira da água na praia
Entailment	389	4.3	O homem está martelando um prego com uma câmera	Uma câmera está sendo pendurada no prego por um homem
None	4059	4.2	Alguém está batendo um ovo	A mulher está mexendo ovos em uma tigela
None	6319	4.3	Uma flauta não está sendo tocada por um homem	Uma flauta está sendo tocada por um homem
None	5564	1.7	Um homem está fatiando um tomate	Uma mulher está guardando uma cenoura
None	3547	3.3	Um barco está ancorado	Um barco está calmamente velejando sobre a água
Entailment	675	4.5	A mulher está fazendo buracos na batata	A mulher está furando uma batata
Entailment	2651	4.9	Uma menina está cortando a manteiga em dois pedaços	Uma menina está cortando manteiga em duas partes
Entailment	3218	4.8	O cachorro com pelagem castanha está brincando ao ar livre	O cachorro castanho está brincando ao ar livre
Entailment	1427	4.55	A mulher está adicionando açúcar à carne lentamente	A mulher está adicionando açúcar à carne
None	4437	3.4	Um homem está tirando fotos de um lago	A foto de um homem está sendo tirada perto de um lago
Entailment	2197	4.5	Um pai está empurrando sua filha em um carrinho de kart e outra menina está observando	Uma filha está sendo empurrada por seu pai em um kart e outra menina está assistindo
Entailment	494	4.8	Um homem está chutando uma bola de futebol de campo	Um homem está chutando uma bola
Entailment	1389	4.9	Um peixe está sendo fatiado por um homem	Um homem está fatiando um peixe
None	3573	3.0	Um homem está arranjando uma garagem para o carro	Um homem está entrando em um carro em uma garagem
Entailment	881	4.9	Um homem está cortando uma árvore com um machado	Uma árvore está sendo cortada por um homem com um machado
Entailment	1816	5.0	Um lêmure está sendo acariciado por uma mulher	Uma mulher está acariciando um lêmure
None	5957	1.0	O menino está tocando o piano	A mulher não está despejando óleo na frigideira
Entailment	1406	4.9	A água da torneira está sendo bebida por um cachorro amarelo	Um cachorro amarelo está bebendo água da torneira
Entailment	1215	4.7	Um grupo de cachorros criados para corrida está usando uniformes listrados e está correndo pelo caminho	Um grupo de cachorros de corrida está usando uniformes listrados e está correndo pista abaixo
None	4396	3.2	O equipamento de escalada para resgatar um homem está pendurado em uma pedra branca, vertical	Um homem com equipamento usado para escalada está pendurado em uma rocha branca e vertical
None	3556	2.3	Nem todo mundo é capaz de passear com um leão	Um leão está cansadamente andando ansiosamente em uma jaula
Entailment	459	4.7	Um homem está andando de cavalo na praia	Um cara está montando um cavalo
Entailment	17	4.9	A menina está passando maquiagem em sua face	Uma menina está aplicando maquiagem em seu rosto
None	5365	3.9	Vários nadadores estão pulando na água	Vários saltadores estão nadando na água
None	3558	2.5	Nem todo mundo é capaz de passear com um leão	Um leão está andando lentamente
Entailment	2841	4.6	Um homem está caminhando ao longo de uma pista através da natureza	Um homem está andando ao longo de um caminho na natureza
None	4170	4.4	Um papagaio está falando	O papagaio está surpreendentemente falando no microfone
None	5537	1.2	O homem está dirigindo um carro cuidadosamente	As janelas estão sendo limpas por um homem
None	4452	3.3	Uma mulher está adicionando ingredientes a uma tigela	Uma mulher está removendo ingredientes de uma tigela
Entailment	1655	5.0	A pessoa está fervendo macarrão	Uma pessoa está fervendo macarrão
None	5315	3.9	Não tem nenhum homem comendo cereal	O homem está comendo cereal
None	4057	4.6	O cachorro está brincando com um recipiente plástico	O filhote de cachorro está brincando com um recipiente feito de plástico
Entailment	2035	5.0	O homem, que tem pele escura, está parado sobre uma mão na frente de um prédio amarelo	O homem de pele escura está sobre uma mão em frente a um prédio amarelo
Entailment	241	4.7	Uma menina loira está pegando ondas	Uma menina loira está surfando
None	5008	4.3	Uma criança jovem está escalando uma parede de escalada que está em uma área coberta	O menino jovem está escalando a parede de pedra
None	5188	3.3	Os meninos estão de pé na frente do carro em chamas	Quatro homens jovens estão em pé parados e um carro está explodindo atrás deles
Entailment	465	4.3	Jogadores de futebol de campo estão chutando uma bola de futebol de campo no gol	Um jogador de futebol está marcando um gol
Entailment	2132	4.9	O homem de camiseta cinza está sentado em uma pedra em frente a cachoeira	O homem de camiseta tingida de cinza está sentado em uma pedra na frente de uma cachoeira
None	5756	3.7	Alguns meninos estão na frente de pessoas dançando	Os meninos estão dançando na frente de algumas pessoas
None	4749	2.0	O homem está tocando um violão	Um homem está guardando um trompete
None	4540	2.3	Uma mulher está fatiando uma pimenta grande	Não tem nenhuma mulher fatiando um dente de alho
Entailment	667	4.3	Cinco pessoas estão paradas com três cachorros no campo verde perto da estrada	Cinco pessoas estão paradas na grama com três cachorros
None	6374	3.2	A noiva está deixando o noivo após o casamento	A noiva e o noivo estão partindo após o casamento
None	4760	3.4	O praticante de snowboard está saltando sobre da neve branca	Uma pessoa que está praticando snowboard cai pelo ar
Entailment	2786	4.9	Uma menina está acordando	Uma menina está despertando
Entailment	337	4.2	Um menino jovem está tocando um instrumento de sopro	Uma criança está tocando um instrumento
Entailment	1723	4.7	Algumas pessoas estão andando	As pessoas estão andando
None	6408	1.0	Um homem está atirando armas	Uma mulher está andando a cavalo
None	6274	4.4	A mulher está cortando um vegetal	Uma mulher está fatiando uma berinjela
Entailment	3086	4.9	Um vestido, que é preto, vermelho, branco e rosa está sendo usado por uma mulher	Um vestido preto, vermelho, branco e rosa está sendo usado por uma mulher
None	5690	2.8	Não tem nenhum time jogando futebol de campo	Duas equipes estão jogando futebol de campo
Entailment	2281	4.1	A menina está trotando no cavalo	A pessoa está trotando de cavalo
Entailment	582	4.8	Uma mulher está disparando em um alvo de prática	Uma mulher está atirando em um alvo de prática
Entailment	1371	4.4	O cachorro está se divertindo com um brinquedo	Um cachorro está brincando com um brinquedo
None	4081	4.2	O homem está dirigindo um carro	O homem não está dirigindo um carro
Entailment	122	4.3	Um homem de terno está de pé em frente a um microfone e cantando	O homem no palco está cantando no microfone
None	5652	1.0	Uma pessoa está despejando vegetais picados em uma panela no fogão	Não tem nenhum homem dando tapas na boca de um jacaré
None	6097	4.1	Um homem está ligando o micro-ondas	Um homem está apertando os botões de um micro-ondas
Entailment	721	5.0	Alguém está tocando o piano	O piano está sendo tocado por alguém
None	5906	2.1	Os meninos estão dançando na frente de algumas pessoas	Dois homens estão fazendo um esquete, que é muito engraçado, com um boxeador em frente a uma multidão de pessoas
Entailment	1477	4.7	Um homem está fazendo truques em uma bicicleta verde	Um homem está realizando um truque em uma bicicleta verde
Entailment	776	4.3	Um homem está tocando o violão	Um homem está tocando o instrumento
Entailment	951	5.0	A senhora está descascando a batata	Uma mulher está descascando uma batata
None	4603	3.6	A mulher está pegando o canguru	A mulher está pondo o canguru de volta
None	5539	3.5	A pessoa que está praticando snowboard pula pelo ar	Um praticante de salto está jogando o snowboard de uma pessoa pelo ar
None	5230	3.25	Carne está sendo picada em pedaços por uma mulher	Carne está sendo costurada por uma mulher
Entailment	2914	4.9	A mulher está mexendo carne em uma tigela	A senhora está mexendo carne em uma tigela
Entailment	1085	4.9	Uma mulher está olhando a vista de uma cidade	A mulher está olhando a vista de uma cidade
None	4085	2.4	Um homem tatuado está em um sofá e está segurando um lápis	Um homem está sentado em uma cadeira e esfregando seus olhos
None	3927	3.3	Um homem está pegando uma árvore	Um homem está carregando uma planta
Entailment	3108	4.8	Um homem com roupas cobertas de tinta está sentado fora em uma área movimentada escrevendo algo	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo
Entailment	835	4.6	Algumas meninas na adolescência estão dançando para a câmera	Algumas adolescentes estão dançando para a câmera
None	3646	1.4	Um homem está esvaziando completamente um recipiente feito de plástico	Um homem está segurando um sapo descuidadamente
None	4925	4.4	O homem está encenando em um microfone e está cantando	Um homem de terno está de pé em frente a um microfone e cantando
